model_a,model_b,mean_f1_a,mean_f1_b,t_statistic,p_value,significant_at_0.05,better
RandomForest,NaiveBayes,0.5297012363191341,0.33231825333681264,1.856492417087165,0.13695556338760084,False,RandomForest
RandomForest,LogisticRegression,0.5297012363191341,0.5206990501383201,1.8132615471165232,0.14400026160723672,False,RandomForest
RandomForest,DecisionTree,0.5297012363191341,0.5282561225432378,0.23025206309627752,0.82919213129537,False,RandomForest
NaiveBayes,LogisticRegression,0.33231825333681264,0.5206990501383201,-1.7813337201723665,0.14945181326365112,False,LogisticRegression
NaiveBayes,DecisionTree,0.33231825333681264,0.5282561225432378,-1.78046910182329,0.14960247191450401,False,DecisionTree
LogisticRegression,DecisionTree,0.5206990501383201,0.5282561225432378,-1.6130256879769007,0.18203526590402022,False,DecisionTree
