Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_accuracy_mean,CV_accuracy_std,CV_precision_mean,CV_precision_std,CV_recall_mean,CV_recall_std,CV_f1_mean,CV_f1_std,CV_roc_auc_mean,CV_roc_auc_std,CV_best_F1_tuning,best_params
RandomForest,0.5053291536050156,0.4988610478359909,0.5565438373570522,0.5261261261261261,0.5123109753796218,0.5068364517410509,0.008788056276222549,0.5000937956937006,0.007911267077957296,0.5630703770882437,0.012486953491306433,0.5297012363191341,0.009561284236447594,0.5181202601246206,0.011164625219325952,0.5387294412791819,"{""clf__max_depth"": 8, ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 200}"
NaiveBayes,0.47335423197492166,0.42450142450142453,0.18932655654383734,0.2618629173989455,0.46731776894334925,0.4852581978658213,0.00968936077274852,0.43578448333117475,0.0578942715942133,0.3592590796369762,0.3551683071018779,0.33231825333681264,0.23870381087822737,0.4671631475368094,0.010202280304583191,0.3238548970265732,"{""clf__var_smoothing"": 1e-11}"
LogisticRegression,0.5021943573667712,0.49586776859504134,0.5336721728081322,0.5140758873929009,0.49757428887742644,0.503700868853813,0.007805405153111214,0.49734030418815056,0.0069493159449917335,0.5465412831281867,0.011095234431803705,0.5206990501383201,0.005215473797948585,0.4949837831862059,0.006555315491469359,0.5158861663308011,"{""clf__C"": 0.01, ""clf__class_weight"": ""balanced""}"
DecisionTree,0.5128526645768025,0.5055555555555555,0.5781448538754765,0.5394190871369294,0.5132364411790606,0.5122307398827106,0.00979158634985003,0.5051202265346675,0.009125294020687846,0.5536588520196191,0.011538474240845474,0.5282561225432378,0.009586362699748904,0.5088705077548429,0.01048751479036814,0.5276744509281258,"{""clf__criterion"": ""entropy"", ""clf__max_depth"": null, ""clf__min_samples_split"": 2}"
